id,company,location,lat,lng,post_date,work_type,applicant_count,data_analyst,business_intelligence,data_engineer,data_scientist,etl_developer,business_information,programming,python,r,scala,sql,mysql,postgresql,mongodb,redis,sqlite,sql server,bigquery,nosql,talend,dataiku,pentaho,snowflake,database,hive,spark,kafka,kinesis,aws,gcp,azure,kubernetes,docker,hadoop,excel,powerpoint,word,pdf,csv,sheet,data_visualization,tableau,powerbi,matplotlib,seaborn,plotly,data_mining,machine_learning,sas,jupyter_notebook,data_studio,communication,deployment,data_scraping,english,etl,git
3620097061,GoTo Financial,jakarta,-6.175247,106.8270488,5 days,On-site,21,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
3618452798,Turing,indonesia,-2.4833826,117.8902853,1 week,Remote,11,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False
3618457354,Turing,jakarta,-6.175247,106.8270488,1 week,Remote,13,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,False
3619038979,ADVANCE.AI,jakarta,-6.175247,106.8270488,1 month,Hybrid,9,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
3580810847,Cobblestone Energy,jakarta,-6.175247,106.8270488,1 month,On-site,200,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
3625887095,Fingerprint for Success (F4S),indonesia,-2.4833826,117.8902853,3 weeks,Remote,7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3577849284,ilmuOne Data,jakarta,-6.175247,106.8270488,2 months,On-site,200,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
3607479178,WeNetwork,jakarta,-6.175247,106.8270488,2 weeks,Hybrid,24,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
3607849734,WeNetwork,jakarta,-6.175247,106.8270488,2 weeks,Hybrid,123,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
3591661727,Indodana,jakarta,-6.175247,106.8270488,1 month,On-site,200,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
